pays,code_iso3,volaille_kcal_hab_jour,population_milliers,pib_par_habitant_ppp,pct_pop_ne_peut_manger_sain,imports_alim_pct_imports_totaux,densite_population_hab_km2,pct_population_urbaine,lpi_efficacite_douane,croissance_pib_pct,marche_volaille,taux_dependance_import,prix_moyen_import,part_bio_agriculture,indice_stabilite_globale,part_volaille_viande,distance_france_km,volaille_import_valeur_usd_hab
Zambia,ZMB,13.05,17441.32,3613,77.8,6.11675887008898,23.4618706197285,42.7295979877011,2.2130095,3.52586277149926,227609.226,100.0,625.136468081793,0.00033558454633164143,48.00318926,0.6668369954011242,7591.297928932764,0.43270291468764976
Guyana,GUY,153.53,768.48,12802,41.3,14.913084636563,3.90388112776226,26.412905546573,2.4731794999999996,3.73449154571284,117984.7344,21.178709677419352,1765.2237487434124,0.0,50.20191406,3.1300713557594295,7310.797834883152,1.5080938996460547
Türkiye,TUR,81.06,83083.66,27852,11.7,5.89323990944807,104.352348531112,88.0320472717286,2.9457775,7.82585730002594,6734761.4796,1.2684534671532846,749.7851067273283,0.014303023917395427,48.73795578000001,2.0768639508070716,2597.4974150070257,0.025092057812571084
Ireland,IRL,102.84,4810.26,87942,2.3,10.1384551191777,70.0746842792858,62.9035196521232,3.4171259999999997,10.1088576065965,494687.13840000005,100.0,3502.649983491952,0.01655157050568055,80.57628854,1.344489475748464,780.8777134920429,104.25288238057817
Israel,ISR,278.81,8361.8,42947,19.2,8.74423157968572,402.647874306839,91.6701057535759,3.41,4.3469311670646,2331353.4579999996,1.3891891891891892,17100.022888532847,0.008850931677018633,70.3873607,2.5539067509389026,3331.7684161148504,1.7869358272142364
Lesotho,LSO,24.1,2157.11,2925,70.7,19.4545128256261,71.0510540184453,36.5283648068846,2.1364535,-3.13817493733471,51986.35100000001,100.0,3275.6819546030542,0.0,50.24682156,1.2798725438130645,9043.257572187247,13.661190203559391
Uruguay,URY,36.2,3388.44,29762,30.9,13.3150273623055,19.3602902525426,95.2288235732042,2.6456365,1.74037643374211,122661.528,100.0,1807.8012723105057,0.13233588086817738,71.74839886,0.5930537352555701,10962.616272344738,2.4857987746573644
Indonesia,IDN,29.08,267346.66,11773,49.3,10.9918137066306,142.393583234045,54.4541015625,2.6792145,5.06978590134916,7774440.872799999,0.28118396519577377,2146.1899762391554,0.003990811279822402,51.70631528,2.4233333333333333,11582.590603459159,0.007263902230908739
Belarus,BLR,105.58,9495.79,25504,3.3,12.270886234837,46.5987595325832,77.0208206176758,2.2061960000000003,2.53218349471909,1002565.5082,45.88848812095032,805.4881845698818,0.0,48.84034124,1.3530693323080867,1826.0697776044633,1.8022407824941369
Bosnia and Herzegovina,BIH,68.96,3428.68,15554,6.1,16.9912328153768,66.9664453125,48.4918401819106,2.661154,3.24409895306594,236441.77279999998,100.0,1362.795642521942,0.0005834829443447037,48.48913834,1.6612864370031317,1347.1103147824995,4.243344377428048
Senegal,SEN,23.32,15475.0,3872,54.1,23.9899933080167,80.3770944787825,47.9338349639053,2.242372,7.4074861863013,360877.0,6.665157894736843,1411.219381228383,0.0007840823769173013,53.67381274,1.3318103940605368,4206.69139303551,0.05774281098546042
Poland,POL,127.23,38254.96,34355,17.2,8.77339399800607,124.0237303635,60.145888199417,3.258346,5.15245773325907,4867178.5608,28.657002150537632,1971.8560781106548,0.03422763103305214,67.63056808,1.4459597681554723,1370.6041815256249,3.4343232877514445
Viet Nam,VNM,37.81,95176.98,10291,12.1,8.01962000384069,303.688787280275,33.3625963003742,2.850275,6.94019037359206,3598641.6138,100.0,1053.6108209795816,0.004767931102491618,52.525873899999986,0.9058457115476761,9197.211954115048,1.2107906764850072
Czechia,CZE,86.29,10541.34,45178,4.8,5.77433216616245,137.21587877218,72.9121853567256,3.435222,5.17356529967881,909612.2286,100.0,2449.9222611645364,0.143425163305879,73.38268698,1.0622922565554598,881.7373062556042,28.78272970988508
